Title Number,Tenure,Property Address,District,County,Region,Postcode,Multiple Address Indicator,Price Paid,Proprietor Name (1),Company Registration No. (1),Proprietorship Category (1),Proprietor (1) Address (1),Proprietor (1) Address (2),Proprietor (1) Address (3),Proprietor Name (2),Company Registration No. (2),Proprietorship Category (2),Proprietor (2) Address (1),Proprietor (2) Address (2),Proprietor (2) Address (3),Proprietor Name (3),Company Registration No. (3),Proprietorship Category (3),Proprietor (3) Address (1),Proprietor (3) Address (2),Proprietor (3) Address (3),Proprietor Name (4),Company Registration No. (4),Proprietorship Category (4),Proprietor (4) Address (1),Proprietor (4) Address (2),Proprietor (4) Address (3),Date Proprietor Added,Additional Proprietor Indicator
"15677","Freehold","487 Upper Richmond Road West (SW14 7PU)","RICHMOND UPON THAMES","GREATER LONDON","GREATER LONDON","SW14 7PU","N","","CITYMILL INVESTMENTS LTD","08075888","Limited Company or Public Limited Company","Swiss House, Beckingham Street, Tolleshunt Major, Maldon, Essex CM9 8LZ","","","","","","","","","","","","","","","","","","","","","29-10-2012","N"
"15702","Freehold","108 Almners Road, Lyne","RUNNYMEDE","SURREY","SOUTH EAST","","N","","THE COUNTY COUNCIL OF SURREY","","County Council","County Hall, Kingston Upon Thames, KT1 2DN","","","","","","","","","","","","","","","","","","","","","01-06-1915","N"
"15830","Freehold","Land to the south of St Mary's Crescent","HOUNSLOW","GREATER LONDON","GREATER LONDON","","N","","TRANSPORT FOR LONDON","","Corporate Body","Transport for London, 55 Broadway, London SW1H 0BD","","","","","","","","","","","","","","","","","","","","","21-11-2017","N"
"16121","Freehold","land on the North side of High Street, Egham","RUNNYMEDE","SURREY","SOUTH EAST","","N","","HIGHWAYS ENGLAND COMPANY LIMITED","9346363","Limited Company or Public Limited Company","Bridge House, 1 Walnut Tree Close, Guildford, Surrey GU1 4LZ","Ash House Falcon Road, Sowton, Exeter EX2 7LB","","","","","","","","","","","","","","","","","","","","20-08-2015","N"
"16397","Freehold","land at Wootton Road, Bristol","CITY OF BRISTOL","CITY OF BRISTOL","SOUTH WEST","","N","","CAPPER PASS AND SON LIMITED","","Limited Company or Public Limited Company","Mill Lane, Bedminster, Bristol","","","","","","","","","","","","","","","","","","","","","28-03-1917","N"
"16490","Freehold","Flats 17-27, Regal Court, 169 Malvern Road, London (NW6 5PZ)","BRENT","GREATER LONDON","GREATER LONDON","NW6 5PZ","N","","AVON GROUND RENTS LIMITED","7399676","Limited Company or Public Limited Company","88 Edgware Way, Edgware HA8 8JS","","","","","","","","","","","","","","","","","","","","","13-07-2018","N"
"17292","Freehold","being land forming part of site of Lower Mortlake Road","RICHMOND UPON THAMES","GREATER LONDON","GREATER LONDON","","N","","TRANSPORT FOR LONDON","","Corporate Body","Transport for London, 55 Broadway, London SW1H 0BD","","","","","","","","","","","","","","","","","","","","","21-11-2017","N"
"17388","Freehold","Holyrood, 82 Muswell Avenue","HARINGEY","GREATER LONDON","GREATER LONDON","","N","","THE COUNTY COUNCIL OF ADMINISTRATIVE COUNTY OF MIDDLESEX","","Local Authority","Guildhall, Westminster, London, SW1","","","","","","","","","","","","","","","","","","","","","12-07-1934","N"
"17616","Freehold","North Mount Farm, Bempton Lane, Sewerby Cum Marton","EAST RIDING OF YORKSHIRE","EAST RIDING OF YORKSHIRE","YORKS AND HUMBER","","N","","EAST RIDING OF YORKSHIRE COUNTY COUNCIL","","Local Authority","County Hall, Beverley, E Riding of Yorkshire","","","","","","","","","","","","","","","","","","","","","20-06-1919","N"
"17836","Freehold","Lanfawr Farm, Llanddarog","CARMARTHENSHIRE","CARMARTHENSHIRE","WALES","","N","","CARMARTHENSHIRE COUNTY COUNCIL","","Local Authority","County Hall, Carmarthen, Carmarthenshire SA31 1JP","","","","","","","","","","","","","","","","","","","","","23-03-1987","N"
"18073","Freehold","land on the east side of Malling Road, Birling, West Malling","TONBRIDGE AND MALLING","KENT","SOUTH EAST","","N","","THE COUNTY COUNCIL OF THE ADMINISTRATIVE COUNTY OF KENT","","County Council","Maidstone, Kent","","","","","","","","","","","","","","","","","","","","","23-10-1919","N"
"18386","Freehold","land at Silver Hall Farm, Hull Road, Skirlaugh (HU11 5AE)","EAST RIDING OF YORKSHIRE","EAST RIDING OF YORKSHIRE","YORKS AND HUMBER","HU11 5AE","N","","EAST RIDING OF YORKSHIRE COUNTY COUNCIL","","Local Authority","County Hall, Beverley, E Riding of Yorkshire","","","","","","","","","","","","","","","","","","","","","15-12-1919","N"
"18462","Freehold","Land in Ryther","SELBY","NORTH YORKSHIRE","YORKS AND HUMBER","","N","","NORTH YORKSHIRE COUNTY COUNCIL","","Local Authority","County Hall, Northallerton, North Yorkshire DL7 8AD","","","","","","","","","","","","","","","","","","","","","29-12-1919","N"
"18481","Freehold","land at Leighton Brook, Off Middlewich Road, Leighton","CHESHIRE EAST","CHESHIRE EAST","NORTH WEST","","N","","CHESHIRE EAST BOROUGH COUNCIL","","Local Authority","Westfields, Middlewich Road, Sandbach CW11 1HZ","","","","","","","","","","","","","","","","","","","","","27-04-2009","N"
"18638","Freehold","land lying to the south of Lana Farm, Bradford, Holsworthy (EX22 7AW)","TORRIDGE","DEVON","SOUTH WEST","EX22 7AW","N","","THE COUNTY COUNCIL OF THE ADMINISTRATIVE COUNTY OF DEVON","","Local Authority","County Hall, Exeter","","","","","","","","","","","","","","","","","","","","","17-01-1920","N"
"18887","Freehold","Land known as The Hundred Acre Farm and Kives Farm, Oving","CHICHESTER","WEST SUSSEX","SOUTH EAST","","N","","WEST SUSSEX COUNTY COUNCIL","","County Council","County Hall, Chichester, W Sussex","","","","","","","","","","","","","","","","","","","","","17-02-1920","N"
"18983","Freehold","Compton Farm, South Petherton, Yeovil","SOUTH SOMERSET","SOMERSET","SOUTH WEST","","N","","SOMERSET COUNTY COUNCIL","","County Council","County Hall, Taunton, Somerset, TA1 4DY","","","","","","","","","","","","","","","","","","","","","04-03-1976","N"
"19026","Freehold","Dunsley and Kiln Farms, Tring and Wigginton","DACORUM","HERTFORDSHIRE","SOUTH EAST","","N","","HERTFORDSHIRE COUNTY COUNCIL","","County Council","County Hall, Hertford SG13 8DE","","","","","","","","","","","","","","","","","","","","","04-03-1920","N"
