Title Number,Tenure,Property Address,District,County,Region,Postcode,Multiple Address Indicator,Price Paid,Proprietor Name (1),Company Registration No. (1),Proprietorship Category (1),Country Incorporated (1),Proprietor (1) Address (1),Proprietor (1) Address (2),Proprietor (1) Address (3),Proprietor Name (2),Company Registration No. (2),Proprietorship Category (2),Country Incorporated (2),Proprietor (2) Address (1),Proprietor (2) Address (2),Proprietor (2) Address (3),Proprietor Name (3),Company Registration No. (3),Proprietorship Category (3),Country Incorporated (3),Proprietor (3) Address (1),Proprietor (3) Address (2),Proprietor (3) Address (3),Proprietor Name (4),Company Registration No. (4),Proprietorship Category (4),Country Incorporated (4),Proprietor (4) Address (1),Proprietor (4) Address (2),Proprietor (4) Address (3),Date Proprietor Added,Additional Proprietor Indicator
"LAN43079","Freehold","51 The Gravel, Mere Brow (PR4 6JX)","WEST LANCASHIRE","LANCASHIRE","NORTH WEST","PR4 6JX","N","","LILFORD 2005 LIMITED","","Limited Company or Public Limited Company","JERSEY","Durrell House, 28 New Street, St Helier, Jersey","Napthens Solicitors 7 Winckley Square, Preston, Lancashire PR1 3JD","Acland Bracewell Surveyors Limited, The Barrons, Church Road, Tarleton, Preston, Lancashire PR4 6UP","","","","","","","","","","","","","","","","","","","","","","05-12-2006","N"
"LAN49341","Freehold","Land and buildings lying to the east side of Warton Road, Carnforth","LANCASTER","LANCASHIRE","NORTH WEST","","N","","AUSTRINGER LAND LIMITED","","Limited Company or Public Limited Company","BRITISH VIRGIN ISLANDS","Faraday Court, Faraday Drive, Fulwood, Preston PR2 9NB","","","","","","","","","","","","","","","","","","","","","","","","13-07-2015","N"
"K908903","Freehold","Istead Rise Surgery, Worcester Close, Istead Rise, Gravesend (DA13 9LB)","GRAVESHAM","KENT","SOUTH EAST","DA13 9LB","N","","MEDICX PROPERTIES V LIMITED","","Limited Company or Public Limited Company","GUERNSEY","Regency Court, Glategny Esplanade, St Peter Port, Guernsey, GY1 3RH","5 Godalming Business Centre, Woolsack Way, Godalming, Surrey GU7 1XW","","","","","","","","","","","","","","","","","","","","","","","16-11-2010","N"
"K908988","Freehold","Plot ITB31, Little Buds Farm, Darman Lane, Paddock Wood, Tonbridge","MAIDSTONE","KENT","SOUTH EAST","","N","","M/S MADA INVESTMENT","","Corporate Body","BAHRAIN","P.O. Box 20121, Diplomatic Area, Bahrain","","","","","","","","","","","","","","","","","","","","","","","","13-09-2006","N"
"K910728","Freehold","130 Mortimer Street, Herne Bay (CT6 5EE)","CANTERBURY","KENT","SOUTH EAST","CT6 5EE","N","","INDEPENDENT TRUSTEE COMPANY LIMITED","","Limited Company or Public Limited Company","IRELAND","Harmony Court, Harmony Row, Dublin","","","","","","","","","","","","","","","","","","","","","","","","16-07-2007","N"
"K914590","Freehold","Land at Alland Grange, Alland Grange Lane, Manston, Ramsgate","THANET","KENT","SOUTH EAST","","N","","OMEGA PROPERTIES LIMITED","","Limited Company or Public Limited Company","MALTA","19 Cavendish Square, London W1A 2AW","","","","","","","","","","","","","","","","","","","","","","","","27-12-2006","N"
"K918247","Freehold","LAND ADJOINING THE NORTHERN BOUNDARY OF Quince Cottage, Maidstone Road, Nettlestead, Maidstone (ME18 5HB)","MAIDSTONE","KENT","SOUTH EAST","ME18 5HB","N","","SOUTHERN QUEST (INTERNATIONAL) LIMITED","","Limited Company or Public Limited Company","GIBRALTAR","Kinnerton Place North, London SW1X 8EJ","5 New Street Square, London EC4A 3TW","","","","","","","","","","","","","","","","","","","","","","","15-08-2007","N"
"K856649","Freehold","land on the east side of Hill Road, Wouldham, Rochester","TONBRIDGE AND MALLING","KENT","SOUTH EAST","","N","","EDEN ROCK LAND TRANSFERS LIMITED","","Limited Company or Public Limited Company","GUERNSEY","The Rotunda, Royal Avenue, St. Peter Port, Guernsey, Channel Islands, GY1 2HL","4 Ashdown Court, Lewes Road, Forest Row RH18 5EZ","","","","","","","","","","","","","","","","","","","","","","","20-11-2015","N"
"K865152","Freehold","White Cottage, Flint Lane, Lenham, Maidstone (ME17 2EN)","MAIDSTONE","KENT","SOUTH EAST","ME17 2EN","N","400000","OLYMPIA HOMES LIMITED","","Limited Company or Public Limited Company","JERSEY","PO Box 236, First Island House, Peter Street, St Helier, Jersey, Channel Islands, JE4 8SG","","","","","","","","","","","","","","","","","","","","","","","","03-11-2010","N"
"K865574","Freehold","28 Lime Hill Road, Tunbridge Wells (TN1 1LL)","TUNBRIDGE WELLS","KENT","SOUTH EAST","TN1 1LL","N","","NEW ZEALAND TRUSTEE SERVICES (INTERNATIONAL) LIMITED","3204418","Limited Company or Public Limited Company","NEW ZEALAND","Level 1, 149-155 Parnell Road, Parnell, Auckland, New Zealand","4, Rue Des Armandiers, 11110 Salle D'Aude, France","","","","","","","","","","","","","","","","","","","","","","","29-05-2014","N"
"K867050","Leasehold","Flat 2, Little Burton Centre, Richmond Meech Drive, Ashford (TN24 9RX)","ASHFORD","KENT","SOUTH EAST","TN24 9RX","N","75000","CLAPHAM HOLDINGS LIMITED","","Limited Company or Public Limited Company","GIBRALTAR","David Tannen Services Limited, Sutherland House, 70-78 West Hendon Broadway, London NW9 7BT","57-63 Line Wall Road, PO Box 199, Gibraltar","","","","","","","","","","","","","","","","","","","","","","","10-03-2004","N"
"K867051","Leasehold","Flat 1, Little Burton Centre, Richmond Meech Drive, Ashford (TN24 9RX)","ASHFORD","KENT","SOUTH EAST","TN24 9RX","N","75000","CLAPHAM HOLDINGS LIMITED","","Limited Company or Public Limited Company","GIBRALTAR","David Tannen Services Limited, Sutherland House, 70-78 West Hendon Broadway, London NW9 7BT","57-63 Line Wall Road, PO Box 199, Gibraltar","","","","","","","","","","","","","","","","","","","","","","","10-03-2004","N"
"K869921","Freehold","15-16 Guildhall Street, Canterbury (CT1 2JG)","CANTERBURY","KENT","SOUTH EAST","CT1 2JG","N","","CHAUCER PROPERTY INVESTMENTS LIMITED","","Limited Company or Public Limited Company","JERSEY","26 New Street, St Helier, Jersey, JE2 3RA","","","","","","","","","","","","","","","","","","","","","","","","06-07-2018","N"
"K870259","Freehold","St Martins Court, High Street, Dover (CT16 1AE)","DOVER","KENT","SOUTH EAST","CT16 1AE","N","","FERNPOOL HOLDINGS LIMITED","","Limited Company or Public Limited Company","GIBRALTAR","13/1 Line Wall Road, Gibraltar, GX11 1AA","","","","","","","","","","","","","","","","","","","","","","","","28-09-2016","N"
"K871083","Leasehold","68 Richmond Meech Drive, Kennington, Ashford (TN24 9RF)","ASHFORD","KENT","SOUTH EAST","TN24 9RF","N","90000","CLAPHAM HOLDINGS LIMITED","","Limited Company or Public Limited Company","GIBRALTAR","David Tannen Services Limited, Sutherland House, 70-78 West Hendon Broadway, London NW9 7BT","57-63 Line Wall Road, PO Box 199, Gibraltar","","","","","","","","","","","","","","","","","","","","","","","18-06-2004","N"
"K871085","Leasehold","67 Richmond Meech Drive, Kennington, Ashford (TN24 9RF)","ASHFORD","KENT","SOUTH EAST","TN24 9RF","N","90000","CLAPHAM HOLDINGS LIMITED","","Limited Company or Public Limited Company","GIBRALTAR","David Tannen Services Limited, Sutherland House, 70-78 West Hendon Broadway, London NW9 7BT","57-63 Line Wall Road, PO Box 199, Gibraltar","","","","","","","","","","","","","","","","","","","","","","","18-06-2004","N"
"K879274","Freehold","Lordings Barn, Peening Quarter Road, Wittersham, Tenterden (TN30 7NP)","ASHFORD","KENT","SOUTH EAST","TN30 7NP","N","350000","TILSTON ENTERPRISES LIMITED","","Limited Company or Public Limited Company","ISLE OF MAN","19 Peel Road, Douglas, Isle Of Man, LM1 4LS","","","","","","","","","","","","","","","","","","","","","","","","14-12-2004","N"
"K887483","Freehold","171 Reculver Road, Herne Bay (CT6 6PX)","CANTERBURY","KENT","SOUTH EAST","CT6 6PX","N","","SIPL SAINTS PROPCO S.A R.L.","","Corporate Body","LUXEMBOURG","6 rue Dicks, L-1417, Luxembourg","","","","","","","","","","","","","","","","","","","","","","","","01-06-2018","N"
"K892615","Freehold","1 and 2 Little Burton Centre, 1-4 (inc) George Williams Way and 65-78 (inc) Richmond Meech Drive, Ashford","ASHFORD","KENT","SOUTH EAST","","N","","ORMSHILL PROPERTIES LIMITED","","Limited Company or Public Limited Company","GIBRALTAR","57/63 Line Wall Road, Gibraltar","David Tannen Services Limited, Sutherland House, 70/78 West Hendon Broadway, London NW9 7BT","","","","","","","","","","","","","","","","","","","","","","","03-11-2005","N"
"K905559","Leasehold","42 Kings Hill Avenue, Kings Hill, West Malling (ME19 4AJ)","TONBRIDGE AND MALLING","KENT","SOUTH EAST","ME19 4AJ","N","","LIBERTY PROPERTY LIMITED PARTNERSHIP","","Limited Company or Public Limited Company","PENNSYLVANIA, U.S.A.","The Control Tower, 29 Liberty Square, Kings Hill, West Malling, Kent ME19 4RG","","","","","","","","","","","","","","","","","","","","","","","","12-07-2006","N"
"BGL122310","Leasehold","Flat 23, Broadwalk House, 51 Hyde Park Gate, London (SW7 5DZ)","KENSINGTON AND CHELSEA","GREATER LONDON","GREATER LONDON","SW7 5DZ","N","","QIARANDO INVESTMENTS LIMITED","","Limited Company or Public Limited Company","BRITISH VIRGIN ISLANDS","Trust Offices, 197 Main Street, Road Town, Tortola, British Virgin Islands","","","","","","","","","","","","","","","","","","","","","","","","29-03-2016","N"
"BGL123214","Leasehold","Flat 4a, Warwick Mansions, Cromwell Crescent, London (SW5 9QR)","KENSINGTON AND CHELSEA","GREATER LONDON","GREATER LONDON","SW5 9QR","N","","FRENDSBURY LIMITED","","Limited Company or Public Limited Company","BRITISH VIRGIN ISLANDS","Flat 4a, Warwick Mansions, Cromwell Crescent, London SW5 9QR","","","","","","","","","","","","","","","","","","","","","","","","26-04-2016","N"
"BGL123755","Leasehold","Flat 7, Lord Kensington House, 5 Radnor Terrace, London (W14 8BU)","KENSINGTON AND CHELSEA","GREATER LONDON","GREATER LONDON","W14 8BU","N","1729000","SOMERSET CONSULTING LIMITED","","Limited Company or Public Limited Company","BRITISH VIRGIN ISLANDS","Akara Building, 24 De Castro Street, Wickhams Cay 1 Road Town, Tortola, British Virgin Islands","","","","","","","","","","","","","","","","","","","","","","","","16-05-2016","N"
"BGL124436","Leasehold","Flat 5, 51 Cadogan Square, London (SW1X 0HY)","KENSINGTON AND CHELSEA","GREATER LONDON","GREATER LONDON","SW1X 0HY","N","","KRISTENSEN HOLDINGS LIMITED","","Limited Company or Public Limited Company","BRITISH VIRGIN ISLANDS","Consortia Partnership, Channel House, Green Street, St Helier, Jersey, JE2 4UH","","","","","","","","","","","","","","","","","","","","","","","","13-06-2016","N"
"BGL124682","Leasehold","41, Higham House West, 102 Carnwath Road, London (SW6 3BJ)","HAMMERSMITH AND FULHAM","GREATER LONDON","GREATER LONDON","SW6 3BJ","N","652837","PINEWOOD INVESTMENTS LTD","","Limited Company or Public Limited Company","BELIZE","New Horizon Building , Ground Floor, 3 1/2 Miles, Phillip S W Goldson Highway, Belize City , Belize","","","","","","","","","","","","","","","","","","","","","","","","22-06-2016","N"
"BGL124932","Leasehold","Flat 11, Washington House, Basil Street, London (SW3 1AR)","KENSINGTON AND CHELSEA","GREATER LONDON","GREATER LONDON","SW3 1AR","N","","CADIX TRADING S.A.","","Corporate Body","PANAMA","51 South Audley Street, London W1K 2AA","","","","","","","","","","","","","","","","","","","","","","","","01-07-2016","N"
"BGL124986","Leasehold","Flat 43, Knightsbridge Court, Sloane Street, London (SW1X 9LJ)","KENSINGTON AND CHELSEA","GREATER LONDON","GREATER LONDON","SW1X 9LJ","N","","ITL TRUSTEES LIMITED","","Limited Company or Public Limited Company","MAURITIUS","Level 3 Alexander House, Cyber City, Ebene, 7221, Mauritius","50 Hans Crescent, London SW1X 0NA","","INTERCONTINENTAL TRUST LIMITED","","Limited Company or Public Limited Company","MAURITIUS","Level 3 Alexander House, Cyber City, Ebene, 7221, Mauritius","50 Hans Crescent, London SW1X 0NA","","","","","","","","","","","","","","","","05-07-2016","N"
"BGL125333","Leasehold","Flat 73, Huntsmore House, 35 Pembroke Road, London (W8 6LZ)","KENSINGTON AND CHELSEA","GREATER LONDON","GREATER LONDON","W8 6LZ","N","","WITHAM INVESTMENTS LIMITED","","Limited Company or Public Limited Company","BRITISH VIRGIN ISLANDS","ILS Fiduciary (BVI) Limited, Mill Mall, Suite 6, Wickham's Cay, PO Box 3085, Road Town, Tortola, British Virgin Islands","4th floor, Kings Suite, 15 College Road, Harrow HA1 1BA","","","","","","","","","","","","","","","","","","","","","","","18-07-2016","N"
"BGL125507","Leasehold","37, Ravilious House, 273 King Street, London (W6 9QF)","HAMMERSMITH AND FULHAM","GREATER LONDON","GREATER LONDON","W6 9QF","N","649000","TAITON ASSETS MANAGEMENT LIMITED","","Limited Company or Public Limited Company","BRITISH VIRGIN ISLANDS","Offshore Incorporation Limited, PO Box  957, Offshore Incorporation Centre, Road Town, Tortola, British Virgin Islands","","","","","","","","","","","","","","","","","","","","","","","","22-07-2016","N"
"BGL125508","Leasehold","First Floor, 161 Brompton Road, London (SW3 1QP)","KENSINGTON AND CHELSEA","GREATER LONDON","GREATER LONDON","SW3 1QP","N","","ALLIANZ CAPITAL PARTNERS GMBH","","Corporate Body","GERMANY","Theresienstr, 6-8, 80333, Munich, Germany","","","","","","","","","","","","","","","","","","","","","","","","22-07-2016","N"
"BGL125900","Leasehold","4 Ravensbourne Apartments, 5 Central Avenue, London (SW6 2GN)","HAMMERSMITH AND FULHAM","GREATER LONDON","GREATER LONDON","SW6 2GN","N","1720000","ALSTON LIMITED","","Limited Company or Public Limited Company","ISLE OF MAN","18-20 Le Pollet, St Peter Port, GY1 1WH, Guernsey","","","","","","","","","","","","","","","","","","","","","","","","08-08-2016","N"
"BGL126068","Leasehold","Flat 121, Pier House, 31 Cheyne Walk, London (SW3 5HN)","KENSINGTON AND CHELSEA","GREATER LONDON","GREATER LONDON","SW3 5HN","N","","TIANA INVESTMENTS CORPORATION","","Corporate Body","LIBERIA","Flat 21, Pier House, 31 Cheyne Walk, London SW3 5HG","","","","","","","","","","","","","","","","","","","","","","","","15-08-2016","N"
"BGL126194","Leasehold","Flat 31, Lord Kensington House, 5 Radnor Terrace, London (W14 8BU)","KENSINGTON AND CHELSEA","GREATER LONDON","GREATER LONDON","W14 8BU","N","1763200","GRASBERG INVESTMENT LIMITED","","Limited Company or Public Limited Company","BRITISH VIRGIN ISLANDS","325 Waterfront Drive, Omar Hodge Building, 2nd Floor, Wickhams Cay, Road Town, Tortola, British Virgin Islands","","","","","","","","","","","","","","","","","","","","","","","","22-08-2016","N"
"BGL126378","Leasehold","2 Cheyne Court, London (SW3 5TP)","KENSINGTON AND CHELSEA","GREATER LONDON","GREATER LONDON","SW3 5TP","N","","OZER INVESTMENTS LIMITED","","Limited Company or Public Limited Company","PANAMA","2 Cheyne Court, London SW3 5TP","Lionswood, 349 Caledonian Road, London N1 1DW","","","","","","","","","","","","","","","","","","","","","","","31-08-2016","N"
"BGL127109","Leasehold","Flat 16, 52 Pont Street, London (SW1X 0AE)","KENSINGTON AND CHELSEA","GREATER LONDON","GREATER LONDON","SW1X 0AE","N","2250000","BEACON UNION LIMITED","","Limited Company or Public Limited Company","BRITISH VIRGIN ISLANDS","Flat 16, 52 Pont Street, London SW1X 0AE","174 Brompton Road, London SW3 1HP","","","","","","","","","","","","","","","","","","","","","","","19-06-2017","N"
"BGL127197","Leasehold","Flat F Fifth Floor, 67 Harrington Gardens, London (SW7 4JZ)","KENSINGTON AND CHELSEA","GREATER LONDON","GREATER LONDON","SW7 4JZ","N","","ELM PARK ROAD LIMITED","","Limited Company or Public Limited Company","JERSEY","19-21 Broad Street, Jersey, JE1 3PB","","","","","","","","","","","","","","","","","","","","","","","","07-10-2016","N"
"BGL128612","Leasehold","Flat 12, Redlynch Court, 70 Addison Road, London (W14 8JG)","KENSINGTON AND CHELSEA","GREATER LONDON","GREATER LONDON","W14 8JG","N","","SALMA CAPITAL LIMITED","","Limited Company or Public Limited Company","BRITISH VIRGIN ISLANDS","197 Main Street, Po Box 3174, Road Town, Tortola, British Virgin Islands","59-60 Russell Square, London WC1B 4HP","","","","","","","","","","","","","","","","","","","","","","","06-12-2016","N"
"BGL128840","Leasehold","Parking Space 19, Kingfisher House 6, Melbury Road, London (W14 8LN)","KENSINGTON AND CHELSEA","GREATER LONDON","GREATER LONDON","W14 8LN","N","","GOLDEN ORIOLE LIMITED","","Limited Company or Public Limited Company","JERSEY","43 Welbeck Street, London W1G 8DX","","","","","","","","","","","","","","","","","","","","","","","","14-12-2016","N"
"BGL129820","Leasehold","Flat 22, 23 Faraday Road, London (W10 5PJ)","KENSINGTON AND CHELSEA","GREATER LONDON","GREATER LONDON","W10 5PJ","N","885000","PARTHENOPE LIMITED","","Limited Company or Public Limited Company","GUERNSEY","Flat 22, 23 Faraday Road, London W10 5PJ","","","","","","","","","","","","","","","","","","","","","","","","27-01-2017","N"
"BGL130047","Leasehold","First Floor Flat, 47 Barton Road, London (W14 9HB)","HAMMERSMITH AND FULHAM","GREATER LONDON","GREATER LONDON","W14 9HB","N","","HUME BROPHY COMMUNICATIONS","","Unlimited Company","IRELAND","32 Merrion Street, Dublin 2, Ireland","","","","","","","","","","","","","","","","","","","","","","","","06-02-2017","N"
"BGL130352","Leasehold","Flat 4, 77-79 Southern Row, London (W10 5AL)","KENSINGTON AND CHELSEA","GREATER LONDON","GREATER LONDON","W10 5AL","N","775000","DORRINGTON WORLDWIDE LIMITED","","Limited Company or Public Limited Company","BRITISH VIRGIN ISLANDS","Unit, 2 Capital Business Park, Manor Way, Borehamwood WD6 1GW","","","","","","","","","","","","","","","","","","","","","","","","16-02-2017","N"
"BGL130661","Leasehold","73 Holland Park, London (W11 3SL)","KENSINGTON AND CHELSEA","GREATER LONDON","GREATER LONDON","W11 3SL","N","","POONAWALLA ESTATES INCORPORATED","","Corporate Body","BRITISH VIRGIN ISLANDS","Chemin de Trois-Portes II, 2000 Neuchatel, Switzerland","","","","","","","","","","","","","","","","","","","","","","","","10-10-2017","N"
"BGL130674","Freehold","basement vaults at 117 Kensington Church Street, London (W8 7LN)","KENSINGTON AND CHELSEA","GREATER LONDON","GREATER LONDON","W8 7LN","N","","HEATHERSTONE PROPERTIES LIMITED","","Limited Company or Public Limited Company","JERSEY","One The Esplanade, St Helier, Jersey, Je2 3qu","","","","","","","","","","","","","","","","","","","","","","","","28-02-2017","N"
"BGL130765","Leasehold","Basement Wine Bin 21, Cheyne Terrace, 79 Chelsea Manor Street, London (SW3 5QP)","KENSINGTON AND CHELSEA","GREATER LONDON","GREATER LONDON","SW3 5QP","N","","IREZA BUSINESS INC.","","Corporate Body","BRITISH VIRGIN ISLANDS","Apartment 4, 79b Chelsea Manor Street, London SW3 5QP","","","","","","","","","","","","","","","","","","","","","","","","06-03-2017","N"
"BGL130986","Leasehold","Flat 14, 52-58 Pont Street, London (SW1X 0AE)","KENSINGTON AND CHELSEA","GREATER LONDON","GREATER LONDON","SW1X 0AE","N","","TROPIC VIEW INVESTMENTS LIMITED","","Limited Company or Public Limited Company","BRITISH VIRGIN ISLANDS","63 Greencroft Gardens, London NW6 3LJ","","","","","","","","","","","","","","","","","","","","","","","","13-03-2017","N"
"BGL130994","Leasehold","Flat H, Southwell House, 34-36 Egerton Gardens, London (SW3 2DB)","KENSINGTON AND CHELSEA","GREATER LONDON","GREATER LONDON","SW3 2DB","N","","ETON PROPERTIES LIMITED","","Limited Company or Public Limited Company","ISLE OF MAN","Farleigh House, Palace Road, Douglas, Isle Of Man, IM2 4LB","","","","","","","","","","","","","","","","","","","","","","","","13-03-2017","N"
"BGL131289","Leasehold","Loft Space, 57 Fitzjames Avenue, London (W14 0RR)","HAMMERSMITH AND FULHAM","GREATER LONDON","GREATER LONDON","W14 0RR","N","","LONDICAY","","Corporate Body","CAYMAN ISLANDS","Ground Floor Harbour Centre, PO Box 1569, George Town, Grand Cayman, KY1-1110, Cayman Islands","Pinnacle House, 17 Hartfield Road, London SW19 3SE","","","","","","","","","","","","","","","","","","","","","","","13-03-2017","N"
"BGL131679","Freehold","390 Cranbrook Road and 39 Frinton Mews, Ilford","REDBRIDGE","GREATER LONDON","GREATER LONDON","","N","453000","PLATINUM INVESTMENT COMPANY INC","","Unlimited Company","SEYCHELLES","2nd Floor, 27 Gloucester Place, London W1U 8HU","","","","","","","","","","","","","","","","","","","","","","","","06-04-2017","N"
"BGL132086","Leasehold","Flat 19, 1-2 Embankment Gardens, London (SW3 4LH)","KENSINGTON AND CHELSEA","GREATER LONDON","GREATER LONDON","SW3 4LH","N","","SOMATOP LIMITED","","Limited Company or Public Limited Company","ST KITTS AND NEVIS","Flat 19, 1-2 Embankment Gardens, London SW3 4LH","","","","","","","","","","","","","","","","","","","","","","","","26-04-2017","N"
"BGL132258","Leasehold","Flat 5, 59-61 Pont Street, London (SW1X 0BD)","KENSINGTON AND CHELSEA","GREATER LONDON","GREATER LONDON","SW1X 0BD","N","","HARMONY TEAM LIMITED","","Limited Company or Public Limited Company","BRITISH VIRGIN ISLANDS","Flat 5, 61 Pont Street, London SW1X 0BD","3rd Floor, Omar Hodge Building, Wickhams Cay I, Road Town Tortola, British Virgin Islands","","","","","","","","","","","","","","","","","","","","","","","05-05-2017","N"
"BGL132484","Freehold","23a Cadogan Square, London (SW1X 0HU)","KENSINGTON AND CHELSEA","GREATER LONDON","GREATER LONDON","SW1X 0HU","N","","SKE INVESTMENTS LIMITED","","Limited Company or Public Limited Company","BRITISH VIRGIN ISLANDS","Geneva Place, Waterfront Drive, PO Box 3469, Road Town, Tortola, British Virgin Islands","","","","","","","","","","","","","","","","","","","","","","","","12-05-2017","N"
"BGL132934","Leasehold","3a Bronsart Road, London (SW6 6AJ)","HAMMERSMITH AND FULHAM","GREATER LONDON","GREATER LONDON","SW6 6AJ","N","","PLOVER INVESTMENTS LIMITED","","Limited Company or Public Limited Company","GUERNSEY","Dorey Court, Admiral Park, St Peters Port, Guernsey, Channel Islands","","","","","","","","","","","","","","","","","","","","","","","","02-06-2017","N"
"BGL133181","Leasehold","Suite 12, 2 Station Court, Townmead Road, London (SW6 2PY)","HAMMERSMITH AND FULHAM","GREATER LONDON","GREATER LONDON","SW6 2PY","N","","CLANWILLIAM HEALTH LIMITED","","Limited Company or Public Limited Company","IRELAND","3094 Lake Drive, Citywest Business Campus, Dublin 24, Ireland","","","","","","","","","","","","","","","","","","","","","","","","13-06-2017","N"
"BGL133691","Leasehold","Flat 8, 76-78 Cadogan Place, London (SW1X 9RP)","KENSINGTON AND CHELSEA","GREATER LONDON","GREATER LONDON","SW1X 9RP","N","","PALISANDER FINANCE AND TRADE INC","","Corporate Body","PANAMA","6 Agar Street, London WC2N 4HN","","","","","","","","","","","","","","","","","","","","","","","","05-07-2017","N"
"BGL134646","Leasehold","Flat 4, 8 Palace Gate, London (W8 5NF)","KENSINGTON AND CHELSEA","GREATER LONDON","GREATER LONDON","W8 5NF","N","3600000","KMR PROPERTIES LIMITED","","Limited Company or Public Limited Company","BRITISH VIRGIN ISLANDS","40 Welbeck Street, London W1G 8LN","DX9074, West End","Flat 4, 8 Palace Gate, London W8 5NF","","","","","","","","","","","","","","","","","","","","","","14-08-2017","N"
"BGL134746","Freehold","206 Kensington Church Street, London (W8 4DP)","KENSINGTON AND CHELSEA","GREATER LONDON","GREATER LONDON","W8 4DP","N","4500000","CHESTNUT ESTATES LIMITED","","Limited Company or Public Limited Company","BRITISH VIRGIN ISLANDS","4th Floor, Millbank Tower, 21-24 Millbank, London SW1P 4QP","","","","","","","","","","","","","","","","","","","","","","","","17-08-2017","N"
"BGL134953","Leasehold","Car Parking Space 8, Henry Moore Court, Manresa Road, London (SW3 6LS)","KENSINGTON AND CHELSEA","GREATER LONDON","GREATER LONDON","SW3 6LS","N","120000","FINITE PROPERTIES INVESTMENT LIMITED","","Limited Company or Public Limited Company","JERSEY","Equity Trust House, 28-30 The Parade, St Helier, Jersey, JE1 1EQ","","","","","","","","","","","","","","","","","","","","","","","","30-08-2017","N"
"BGL135209","Leasehold","Flat 3, Dalmeny House, 9 Thurloe Place, London (SW7 2RY)","KENSINGTON AND CHELSEA","GREATER LONDON","GREATER LONDON","SW7 2RY","N","2870000","G1 SRL","","Corporate Body","ITALY","Via Zamboni 4-25050, Passirano, Italy","","","","","","","","","","","","","","","","","","","","","","","","08-09-2017","N"
"BGL135375","Leasehold","Flat 14, Roberts Court, 45 Barkston Gardens, London (SW5 0ES)","KENSINGTON AND CHELSEA","GREATER LONDON","GREATER LONDON","SW5 0ES","N","","CITY SALES LIMITED","","Limited Company or Public Limited Company","GIBRALTAR","City Tower, Level 4, 40 Basinghall Street, London EC2V 5DE","","","","","","","","","","","","","","","","","","","","","","","","15-09-2017","N"
"BGL135654","Leasehold","137-139 Notting Hill Gate, London (W11 3LB)","KENSINGTON AND CHELSEA","GREATER LONDON","GREATER LONDON","W11 3LB","N","2500000","BEACHCRAFT PROPERTIES LIMITED","","Limited Company or Public Limited Company","BRITISH VIRGIN ISLANDS","41 The Broadway, Joel Street, Northwood HA6 1NZ","","","","","","","","","","","","","","","","","","","","","","","","27-09-2017","N"
"BGL135765","Leasehold","Flat 31, Crown Lodge, 12 Elystan Street, London (SW3 3PP)","KENSINGTON AND CHELSEA","GREATER LONDON","GREATER LONDON","SW3 3PP","N","","FARRINGDON HOLDINGS LIMITED","","Limited Company or Public Limited Company","BRITISH VIRGIN ISLANDS","PO Box 71, Craigmuir Chambers, Road Town, Tortola, British Virgin Islands","","","","","","","","","","","","","","","","","","","","","","","","03-10-2017","N"
"BGL136013","Freehold","137-139 Notting Hill Gate, London (W11 3LB)","KENSINGTON AND CHELSEA","GREATER LONDON","GREATER LONDON","W11 3LB","N","2700000","PML LIMITED","","Limited Company or Public Limited Company","BAHAMAS","8 Hanover Square, London W1S 1HQ","Lyford Manor, Lyford Cay, Western Road, Island Of New Providence, Bahamas","","","","","","","","","","","","","","","","","","","","","","","20-06-2018","N"
"BGL136016","Leasehold","3, Parkside, Ravenscourt Park, London (W6 0UU)","HAMMERSMITH AND FULHAM","GREATER LONDON","GREATER LONDON","W6 0UU","N","745000","SHINISH LIMITED","","Limited Company or Public Limited Company","JERSEY","Gaspe House, 66-72 Esplanade, St Helier, Jersey, Channel Islands, JE2 3QT","Cumberland House, 24-28 Baxter Avenue, Southend-On-Sea SS2 6HZ","","","","","","","","","","","","","","","","","","","","","","","13-10-2017","N"
"BGL136020","Leasehold","4, Parkside, Ravenscourt Park, London (W6 0UU)","HAMMERSMITH AND FULHAM","GREATER LONDON","GREATER LONDON","W6 0UU","N","784000","SHINISH LIMITED","","Limited Company or Public Limited Company","JERSEY","Gaspe House, 66-72 Espanade, St Helier, Jersey, Channel Islands, JE2 3QT","Cumberland House, 24-28 Baxter Avenue, Southend-On-Sea SS2 6HZ","","","","","","","","","","","","","","","","","","","","","","","13-10-2017","N"
"BGL136922","Leasehold","Flat 1, 37 Cadogan Place, London (SW1X 9RX)","KENSINGTON AND CHELSEA","GREATER LONDON","GREATER LONDON","SW1X 9RX","N","","MINOAN M LIMITED","","Limited Company or Public Limited Company","GUERNSEY","Flat 1, 37 Cadogan Place, London SW1X 9RX","","","","","","","","","","","","","","","","","","","","","","","","16-11-2017","N"
"ST311578","Freehold","Plot A, Bath Business Park, Eckweek Lane, Peasedown St John, Bath (BA2 8SG)","BATH AND NORTH EAST SOMERSET","BATH AND NORTH EAST SOMERSET","SOUTH WEST","BA2 8SG","N","","CARISBROOKE ROAD LIMITED","","Limited Company or Public Limited Company","BRITISH VIRGIN ISLANDS","Faringdon Road, Cumnor, Oxford OX2 9RE","","","","","","","","","","","","","","","","","","","","","","","","21-02-2014","N"
