Title Number,Tenure,Property Address,District,County,Region,Postcode,Multiple Address Indicator,Price Paid,Proprietor Name (1),Company Registration No. (1),Proprietorship Category (1),Country Incorporated (1),Proprietor (1) Address (1),Proprietor (1) Address (2),Proprietor (1) Address (3),Proprietor Name (2),Company Registration No. (2),Proprietorship Category (2),Country Incorporated (2),Proprietor (2) Address (1),Proprietor (2) Address (2),Proprietor (2) Address (3),Proprietor Name (3),Company Registration No. (3),Proprietorship Category (3),Country Incorporated (3),Proprietor (3) Address (1),Proprietor (3) Address (2),Proprietor (3) Address (3),Proprietor Name (4),Company Registration No. (4),Proprietorship Category (4),Country Incorporated (4),Proprietor (4) Address (1),Proprietor (4) Address (2),Proprietor (4) Address (3),Date Proprietor Added,Additional Proprietor Indicator
"SGL690310","Leasehold","Space at Unit B Prologis Park, Beddington Lane, Croydon","SUTTON","GREATER LONDON","GREATER LONDON","","N","","COOPERATIEVE CENTRALE RAIFFEISEN-BOERENLEENBANK B.A.","","Corporate Body","NETHERLANDS","Thames Court, One Queenhithe, London EC4V 3RL","","","","","","","","","","","","","","","","","","","","","","","","29-08-2007","N"
"SGL692522","Freehold","Land at Layhams Farm, Layhams Road, Keston","BROMLEY","GREATER LONDON","GREATER LONDON","","N","","UK LAND INVESTMENTS INTERNATIONAL LIMITED","","Limited Company or Public Limited Company","BRITISH VIRGIN ISLANDS","Romasco Place, Wickham Cay 1, PO Box 3140, Road Town, Tortola, British Virgin Island","","","","","","","","","","","","","","","","","","","","","","","","27-04-2006","N"
"SGL695500","Leasehold","Flat 5, Effra Court, 230 Haydons Road, London (SW19 8TT)","MERTON","GREATER LONDON","GREATER LONDON","SW19 8TT","N","","SATRE INVESTMENTS LIMITED","","Limited Company or Public Limited Company","TURKS AND CAICOS ISLANDS","70 Upper Tooting Road, London SW17 7PB","","","","","","","","","","","","","","","","","","","","","","","","07-02-2008","N"
"SGL697071","Leasehold","Flat 19, Sycamore Court, Sandcliff Road, Erith (DA8 1NB)","BEXLEY","GREATER LONDON","GREATER LONDON","DA8 1NB","N","","HOMESELECT FINANCE (NO. 3) LIMITED","","Limited Company or Public Limited Company","JERSEY","19-21 Broad Street, St Helier, Jersey, JE1 3PB","3rd Floor, 11 Bruton Street, London W1J 6PY","","","","","","","","","","","","","","","","","","","","","","","03-04-2008","N"
"SGL699344","Freehold","Plot 2a, Shire Lane, Keston","BROMLEY","GREATER LONDON","GREATER LONDON","","N","","TAYLOR SCOTT KESTON LIMITED","","Limited Company or Public Limited Company","SEYCHELLES","Suite 15, 1st Floor Oliaji Trade Centre, Francis Rachel Street, PO Box 1004, Victoria, Mahe, Seychelles","","","","","","","","","","","","","","","","","","","","","","","","08-01-2014","N"
"SGL700078","Leasehold","Flat 5, Arundale, Anglesea Road, Kingston Upon Thames (KT1 2EL)","KINGSTON UPON THAMES","GREATER LONDON","GREATER LONDON","KT1 2EL","N","","ASSOCIATED ACCEPTANCE LIMITED","","Limited Company or Public Limited Company","HONG KONG","Flat 5, Arundale, Anglesea Road, Kingston Upon Thames KT1 2EL","","","","","","","","","","","","","","","","","","","","","","","","15-07-2008","N"
"SGL704480","Leasehold","Suite 1 and Suite 2, 6 Sutton Park Road, Sutton (SM1 2GD)","SUTTON","GREATER LONDON","GREATER LONDON","SM1 2GD","N","","BLUE OCEAN INVESTMENTS CORPORATION","CR138848","Corporate Body","CAYMAN ISLANDS","PO Box 1044GT, 5th Floor, Bermuda House, Dr Roy's Drive, George Town, Grand Cayman, Cayman Islands, BWI",", Epsom, Surrey KT17 3NS","","","","","","","","","","","","","","","","","","","","","","","10-08-2010","N"
"SGL707177","Leasehold","Flat 6, Whitewood House, 41 Hook Road, Surbiton and parking space 6 (KT6 5AA)","KINGSTON UPON THAMES","GREATER LONDON","GREATER LONDON","KT6 5AA","N","","DAL SERVICES LIMITED","","Limited Company or Public Limited Company","ISLE OF MAN","Sovereign House, 14-16 Nelson Street, Douglas , Isle Of Man, IM1 2AL","","","","","","","","","","","","","","","","","","","","","","","","27-04-2009","N"
"LA774086","Freehold","Land on the north east side of Northgate, White Lund, Morecambe","LANCASTER","LANCASHIRE","NORTH WEST","","N","","HARWOOD MOUSE 3 LIMITED","","Limited Company or Public Limited Company","ISLE OF MAN","First Names House, Victoria Road, Douglas, IM2 4DF, Isle of Man","Accrue Capital Limited, Prince Albert House, 20 King Street, Maidenhead SL6 1DT","","","","","","","","","","","","","","","","","","","","","","","06-11-2014","N"
"LA784722","Leasehold","29 Beamont Drive, Preston (PR1 8UN)","PRESTON","LANCASHIRE","NORTH WEST","PR1 8UN","N","","HOMESELECT FINANCE (NO 4) LIMITED","","Limited Company or Public Limited Company","JERSEY","Rathbone House, 15 Esplanade, St Helier, Jersey, JE1 1RB","3rd Floor, 11 Bruton Street, London W1J 6PY","","","","","","","","","","","","","","","","","","","","","","","27-07-2005","N"
"LA786942","Freehold","land on the North side of Brown Street, Blackburn","BLACKBURN WITH DARWEN","BLACKBURN WITH DARWEN","NORTH WEST","","N","","MAPELEY BETA ACQUISITION CO (1) LIMITED","","Limited Company or Public Limited Company","BERMUDA","La Pouquelaye, St. Helier, Jersey, Channel Islands, JE2 3GF","","","","","","","","","","","","","","","","","","","","","","","","08-03-2006","N"
"LA787344","Freehold","46 Westminster Road, Morecambe (LA4 4JD)","LANCASTER","LANCASHIRE","NORTH WEST","LA4 4JD","N","19000","GRANGE VIEW LTD LLC","","Corporate Body","DELAWARE, U.S.A.","85 Marine Road West, Morecambe LA4 4ER","","","","","","","","","","","","","","","","","","","","","","","","22-10-1996","N"
"LA787473","Freehold","9 Laxey Road, Blackburn (BB2 3LH)","BLACKBURN WITH DARWEN","BLACKBURN WITH DARWEN","NORTH WEST","BB2 3LH","N","65000","BRIGANTES LIMITED","","Limited Company or Public Limited Company","JERSEY","3rd Floor, 37 Esplanade, St Helier, Jersey, JE2 3QA","","","","","","","","","","","","","","","","","","","","","","","","30-06-2017","N"
